CN1721226	CAN总线	整车能量高
CN201122861	电动机车	动力单元少
CN101301918	电动机车	实用简洁
CN101154916	电动机系统	变化效率高
CN2224112	电动轿车	成本低
CN2224112	电动轿车	大功率强
CN201092257	电动轿车	低速行驶性能好
CN101372205	电动轿车	低速性能好
CN2224112	电动轿车	电动机速
CN2763118	电动轿车	电动轿车蓄电池高
CN1718457	电动轿车	电动汽车高
CN2224112	电动轿车	电子电动轿车主动力全
CN1718457	电动轿车	发明电动汽车结构简单
CN2224112	电动轿车	工作性能稳定可靠
CN1472092	电动轿车	供充电方便
CN1718457	电动轿车	环境小
CN1923598	电动轿车	机动性好
CN2311386	电动轿车	价格低
CN2311386	电动轿车	轿车整车结构简单
CN2166994	电动轿车	节约自然资源好
CN1718457	电动轿车	经济效益客观
CN2224112	电动轿车	具有结构新颖
CN1472092	电动轿车	里程合理
CN201092257	电动轿车	耐冲击力能力强
CN101372205	电动轿车	耐冲击力能力强
CN1718457	电动轿车	能源少
CN2517647	电动轿车	汽车电源理想
CN1718457	电动轿车	社会效益明显
CN101372205	电动轿车	受力分配合理
CN201092257	电动轿车	受力小
CN2224112	电动轿车	优点可靠
CN201092257	电动轿车	噪声小
CN1515438	电动客车	充电时间长
CN2761494	电动客车	地板客车低
CN1974252	电动客车	分布合理
CN1515438	电动客车	价格高
CN101323255	电动客车	结构简单
CN1515438	电动客车	难题高
CN2761494	电动客车	使得车辆重心位置合理
CN1515438	电动客车	驶里程短
CN1974252	电动客车	提高整车舒适
CN1974252	电动客车	维修蓄电池方便
CN1974252	电动客车	性舒适
CN1522883	电动客车	整车配重合理
CN2639066	电动客车	整车配重合理
CN1974252	电动客车	整体布局合理
CN2331119	电动轮	结构简单
CN2752162	电动轮	结构简单
CN200953506	电动轮	实现一体化电动轮结构轻
CN200959553	电动轮	实现一体化电动轮结构轻
CN200959553	电动轮	受力合理
CN2331119	电动轮	优点简单
CN2752162	电动轮	重量轻
CN2331119	电动轮	转矩大
CN2379390	电动轮毂	安全性可靠
CN2379390	电动轮毂	承受传动制动扭矩大
CN1510820	电动轮毂	尺寸小
CN1817675	电动轮毂	尺寸小
CN101327731	电动轮毂	电机长
CN1510820	电动轮毂	动力特性好
CN1817675	电动轮毂	动力特性好
CN1510820	电动轮毂	发热量低
CN1510820	电动轮毂	结构紧凑
CN1817675	电动轮毂	结构紧凑
CN2379390	电动轮毂	轮毂结构简单
CN1817675	电动轮毂	热量平衡条件好
CN1510820	电动轮毂	热量平衡条件好
CN101327731	电动轮毂	时间长
CN2495488	电动轮毂	寿命长
CN2379390	电动轮毂	提高电动车可靠
CN1510820	电动轮毂	效率高
CN2495488	电动轮毂	优点长
CN1817675	电动轮毂	直接影响先进
CN1510820	电动轮毂	直接影响先进
CN201214373	电动汽车	保证车辆正常
CN1987086	电动汽车	保证发动机起动安全
CN101073993	电动汽车	弊端短
CN2763119	电动汽车	弊端费力
CN1693107	电动汽车	变速系统复杂
CN1683176	电动汽车	采用复合材料制作轻
CN1895921	电动汽车	操控容易
CN201070977	电动汽车	车辆高
CN100999190	电动汽车	车辆高
CN2598796	电动汽车	车辆装备质量轻
CN101239628	电动汽车	车身高强
CN1810536	电动汽车	车身少
CN2195459	电动汽车	车速高
CN201015956	电动汽车	车小巧
CN1302742	电动汽车	成本低
CN201158316	电动汽车	成本低廉
CN101073993	电动汽车	成本低廉
CN2254414	电动汽车	成本高
CN1778591	电动汽车	齿轮传动从动主动
CN101073993	电动汽车	充电行程短
CN2772872	电动汽车	存在装卸不便
CN1778591	电动汽车	带动主轴主动
CN2763119	电动汽车	带来行程短
CN101293475	电动汽车	低速性能好
CN201201525	电动汽车	电池高
CN201201525	电动汽车	电池容量大
CN1621260	电动汽车	电动力电池组好
CN101417667	电动汽车	电动汽车操控高
CN1958328	电动汽车	电动汽车长
CN1958323	电动汽车	电动汽车长
CN201240278	电动汽车	电动汽车高
CN2344215	电动汽车	电动汽车结构简单
CN101417667	电动汽车	电动汽车结构简单
CN201183448	电动汽车	动力电池少
CN201186615	电动汽车	动力蓄电池长
CN2152722	电动汽车	动力蓄电池长
CN1161287	电动汽车	发电量大
CN101073993	电动汽车	发明结构简单
CN101412377	电动汽车	发明整体结构简单
CN1962308	电动汽车	发生死
CN201201525	电动汽车	分配合理
CN201240278	电动汽车	幅度大
CN201214373	电动汽车	改造成本低
CN2529437	电动汽车	故障少
CN2402533	电动汽车	耗电量少
CN2752099	电动汽车	环境基本条件好
CN2405795	电动汽车	环境少
CN100999190	电动汽车	混合动力电动车结构形式复杂
CN2598796	电动汽车	加工成本低
CN2402533	电动汽车	减振效果好
CN2598796	电动汽车	结构低
CN1693107	电动汽车	结构复杂
CN1895921	电动汽车	结构简单
CN1778591	电动汽车	结构简单
CN1302742	电动汽车	结构简单
CN2195459	电动汽车	结构简单
CN201158316	电动汽车	结构简单
CN201158315	电动汽车	结构简单
CN2402533	电动汽车	结构简单
CN201070977	电动汽车	结构简单
CN2406860	电动汽车	结构简单
CN201115786	电动汽车	结构简单
CN1693107	电动汽车	结构简单
CN2598796	电动汽车	结构简单
CN1693107	电动汽车	结构形式合理
CN2734549	电动汽车	解决车辆一般
CN101020419	电动汽车	解决电动汽车存储能量不足
CN101020419	电动汽车	解决石油资源紧张
CN2774844	电动汽车	经济效益明显
CN1895921	电动汽车	经济性好
CN2254414	电动汽车	具有调速简便
CN2195459	电动汽车	具有整车体重轻
CN101244726	电动汽车	具有重量轻
CN2772872	电动汽车	具有装卸方便
CN1974260	电动汽车	飓风气流强
CN1974260	电动汽车	利用汽车行驶强
CN2344215	电动汽车	零部件来源容易
CN201070977	电动汽车	路面行驶性能恶劣
CN100999190	电动汽车	轮式电机成本高
CN2195459	电动汽车	马力大
CN101020419	电动汽车	难题不足
CN2521084	电动汽车	排放内燃机低
CN2521084	电动汽车	气体排放有害
CN1958323	电动汽车	汽车电能少
CN1958328	电动汽车	汽车电能少
CN2344215	电动汽车	汽车行驶平稳
CN2402533	电动汽车	驱动力大
CN201109375	电动汽车	缺点不足
CN2529437	电动汽车	生产成本低
CN201015956	电动汽车	实用优点轻便
CN2254414	电动汽车	使用成本低
CN2598796	电动汽车	使用成本低
CN201109375	电动汽车	驶里程不足
CN201201525	电动汽车	驶里程低
CN201068088	电动汽车	驶能力强
CN2529437	电动汽车	是电动机转动力矩大
CN2213670	电动汽车	速度快
CN2254414	电动汽车	特点低
CN101157342	电动汽车	特点方便
CN101244726	电动汽车	特点强
CN201195491	电动汽车	提高电动汽车行驶平稳
CN201077366	电动汽车	停车充电麻烦
CN201195491	电动汽车	推进电池盒时简便
CN2213670	电动汽车	稳定性好
CN100999190	电动汽车	问题高
CN201201525	电动汽车	问题合理
CN1161287	电动汽车	现有电动汽车高
CN2053166	电动汽车	效果好
CN1974260	电动汽车	效果有益
CN101011997	电动汽车	效率高
CN2078249	电动汽车	效率高
CN201201525	电动汽车	效率高
CN2598796	电动汽车	效率高
CN2195459	电动汽车	行驶时间长
CN201214373	电动汽车	行驶正常
CN101073993	电动汽车	性能可靠
CN2344215	电动汽车	性能可靠
CN201195491	电动汽车	性平稳
CN101020419	电动汽车	意义重大
CN201214373	电动汽车	优点低
CN2254414	电动汽车	有级变速机构复杂
CN1974260	电动汽车	运行成本低
CN201201525	电动汽车	运行噪音低
CN2598796	电动汽车	噪声小
CN2344215	电动汽车	噪声优点少
CN2195459	电动汽车	噪音小
CN201201525	电动汽车	占用空间小
CN101244726	电动汽车	整体刚度强
CN2195459	电动汽车	制造成本低
CN101239628	电动汽车	质高强
CN2406860	电动汽车	质量可靠
CN101239628	电动汽车	质轻
CN2065160	电动桥	成本低廉
CN2065160	电动桥	方面性能显著
CN2065160	电动桥	具有结构简单
CN2065160	电动桥	性能可靠
CN2065160	电动桥	优点可靠
CN1962194	电动拖车	桶旧
CN201151360	电动小车	尺寸严格
CN201205976	电动小车	精度高
CN201151360	电动小车	设备区间安全
CN201193184	电动行车	行车保持平稳
CN201193184	电动行车	运行平稳
CN201002649	电动支架	结构简单
CN201002649	电动支架	性强实用
CN1300881	电镀浴	酸性混浊
CN1426152	电方法	行驶里程连续
CN1288072	电工触点	贵金属稀
CN1288072	电工触点	元素好
CN1288072	电工触点	原材料成本少
CN1380908	电工钢板	性能疲劳
CN2061911	电轨机车	工件少
CN1707280	电荷状态	范围宽
CN1056568	电弧炉	电磁弱
CN1056568	电弧炉	电磁铁好
CN1428013	电化学电源	电活性强
CN1428013	电化学电源	状态强
CN1466785	电化学装置	电解质薄膜相对一侧少
CN1339842	电化学装置	范围选择电极催化剂宽
CN1339842	电化学装置	燃料效率高
CN1266312	电话操作	声音活动检测算法新
CN1264240	电话装置	电话机快
CN201204491	电机	保证获得高气隙磁密
CN201204491	电机	材料耐磨
CN201113717	电机	成本低
CN201054520	电机	承载重量大和冲击力大
CN200976537	电机	传统电动车电机成本高
CN1272716	电机	磁势合理
CN1610225	电机	导致电机起动困难
CN2766446	电机	导致电机起动困难
CN1815851	电机	低速行驶平稳
CN201118405	电机	电动自行车高
CN201113717	电机	电机高
CN1272716	电机	电机结构合理
CN201150025	电机	电机小
CN101299560	电机	电机运行可靠性高
CN201150025	电机	电机杂
CN101277043	电机	电瓶易
CN101277043	电机	发电能力强
CN1815851	电机	高速低
CN201113723	电机	过载能量强
CN101277043	电机	混合动力输出大
CN1610225	电机	机械特性硬
CN2766446	电机	机械特性硬
CN2331121	电机	减轻车重
CN1237028	电机	减轻车重
CN201075772	电机	结构简单
CN1610225	电机	结构简单
CN101212161	电机	结构简单
CN2766446	电机	结构简单
CN1751909	电机	解决汽车发动机效率充分
CN201142616	电机	具有结构合理
CN101197516	电机	具有结构合理
CN201118356	电机	具有结构紧凑
CN1610225	电机	具有良好硬
CN2766446	电机	具有良好硬
CN201113723	电机	具有效率高
CN101232228	电机	具有重量轻
CN101043155	电机	具有转速高
CN201113717	电机	可靠性高
CN201150025	电机	可靠性特点高
CN201075772	电机	轮毂电机强
CN101212161	电机	轮毂电机强
CN101005221	电机	骑行轻便
CN201054520	电机	汽车大
CN201113723	电机	绕线结构简单
CN201204491	电机	上高性能耐磨
CN101277043	电机	上坡时动力不足
CN200976537	电机	生产效率低
CN201142616	电机	使用寿命长
CN101197516	电机	使用寿命长
CN201075759	电机	受安装空间限制小
CN201118356	电机	输出扭矩大
CN1458733	电机	输出少
CN2640115	电机	输出少
CN201113717	电机	速度范围宽广
CN101197516	电机	特点长
CN201142616	电机	特点长
CN201118356	电机	特点平稳
CN201113723	电机	特点强
CN101277043	电机	特点强
CN101309030	电机	特点轻
CN101005221	电机	体积小
CN101232228	电机	体积小
CN101232228	电机	效率高
CN101043155	电机	效率高
CN201075772	电机	性强
CN101212161	电机	性强
CN101212161	电机	性实用
CN201075772	电机	性实用
CN101232228	电机	优点耐用
CN2331121	电机	造价少
CN1237028	电机	造价少
CN1751909	电机	知汽车发动机效率充分
CN1610225	电机	制造成本低
CN2766446	电机	制造成本低
CN101309030	电机	质轻
CN101299560	电机	转子结构简单
CN101367381	电机控制方法	控制方法简便
CN1235384	电极	电极铂少
CN2388713	电极	电极少
CN2190352	电极	电极特性优越
CN1235384	电极	电极性能明显
CN2190352	电极	反应界面显著
CN1440085	电极	方法操作简单
CN1512611	电极	方法容易
CN1235384	电极	使电极制造成本显著
CN1976101	电极	碳容易
CN1512611	电极	需时间短
CN2190352	电极	循环寿命高
CN1440085	电极	制作成本低
CN1235384	电极	重现性好
CN1684291	电极包	正极高
CN1212788	电极材料	生产成本低
CN101362205	电极粉体	附着性好
CN101362205	电极粉体	均匀分散
CN101362205	电极粉体	优点简单
CN101281971	电极制备方法	催化剂高
CN1447468	电极制备方法	电极成本低廉
CN101281971	电极制备方法	工艺新
CN1447468	电极制备方法	具有工艺简单
CN101281971	电极制备方法	孔层微
CN101281971	电极制备方法	膜电极少
CN1447468	电极制备方法	特点低廉
CN1828985	电极组件	程序好
CN101188302	电极组件	催化剂利用率高
CN101188302	电极组件	发明操作方法简单
CN1333931	电极组件	令人惊讶
CN1828985	电极组件	喷涂效果好
CN1333931	电极组件	区域好
CN1828985	电极组件	设定好
CN101188302	电极组件	生产成本低
CN101257121	电解液	电阻低
CN101074290	电解液膜	厚度小
CN101074290	电解液膜	机械强度优异
CN101074290	电解液膜	燃料电池微小
CN1454929	电解质	成本低
CN1290408	电解质	导电性优异
CN1319264	电解质	电池电压锂高
CN101238602	电解质	贵金属回收昂贵
CN101238602	电解质	可燃性低
CN1216164	电解质	凝胶电解质少
CN1319264	电解质	适应能力高
CN101238602	电解质	问题困难
CN1319264	电解质	形状优异
CN101238602	电解质	用铂昂贵
CN1454929	电解质	制备方法简单
CN101280104	电解质材料	具有良好热
CN101280104	电解质材料	稳定性热
CN1656641	电解质浆料	碳酸锂钾电解质低
CN101071872	电解质膜	安装好
CN101154749	电解质膜	电池高
CN101071872	电解质膜	电极双极板好
CN101081898	电解质膜	化学稳定性优异
CN1923874	电解质膜	机械性能高
CN1923874	电解质膜	机械优异
CN1955161	电解质膜	甲醇少
CN101081898	电解质膜	磷酸优异
CN101385179	电解质膜	燃料电池机械强度高
CN101081898	电解质膜	酸强大
CN101154749	电解质膜	提高电池安全
CN1955161	电解质膜	体积大
CN101154749	电解质膜	稳定性热
CN101385179	电解质膜	性耐用
CN101154749	电解质膜	性能安全
CN101075484	电缆	安全性理想
CN101075484	电缆	工作温度最高
CN101075484	电缆	耐温程度高
CN101075484	电缆	使电缆柔
CN101075484	电缆	性曲
CN201224329	电力车	电费少
CN1718469	电力轨道	安装成本少
CN1718469	电力轨道	缺点高
CN1718469	电力轨道	施工成本高
CN1718469	电力轨道	施工难度大
CN1718469	电力轨道	装配精度低
CN101404439	电力机械	磁场方向产生强
CN101388589	电力机械	磁场方向产生强
CN101388589	电力机械	磁场强
CN101404439	电力机械	磁场强
CN101320079	电量状态	实用性高
CN1241828	电路	保护电路灵敏
CN1241828	电路	可靠性高
CN201160233	电路	效果积极
CN1241828	电路	性灵敏
CN201160233	电路	造价高
CN101269627	电路模块	成本低
CN101269627	电路模块	发明电路结构简单
CN101227365	电路系统	安装少
CN201142291	电门锁	磁安全
CN101043089	电瓶	电瓶高
CN101043089	电瓶	工效高
CN101043089	电瓶	克服现有电瓶输出电量不易
CN201089340	电瓶车支架	安装方便
CN101267132	电气机械	制作性高
CN1080251	电汽车	调速性能平滑
CN1080251	电汽车	利用直流电动机平滑
CN1471743	电容器	安全性高
CN101009159	电容器	安全性高
CN101253588	电容器	安全性好
CN101241802	电容器	安全性好
CN101221853	电容器	超级电容器少
CN101241802	电容器	成本低
CN1819082	电容器	成本低
CN1311527	电容器	存储电容器铁电层结晶少
CN1454388	电容器	导电性物质强
CN101194328	电容器	电场好
CN101278365	电容器	电容量高
CN1545114	电容器	放电循环寿命长
CN1768404	电容器	集电体通
CN1819082	电容器	具有可靠性好
CN101009159	电容器	距离长
CN101009159	电容器	可行驶长
CN1768404	电容器	孔通
CN1757085	电容器	面间距晶
CN101278365	电容器	内阻低
CN101079563	电容器	汽车高
CN1819082	电容器	寿命长
CN1866427	电容器	寿命长
CN101009159	电容器	寿命长
CN101253588	电容器	输出密度高
CN101165829	电容器	输出特性高
CN1768404	电容器	形成电极材料少
CN1866427	电容器	循环性能优异
CN1487654	电刷	材料制造强
CN1487654	电刷	磁力强
CN1541858	电推单元	车辆安全性高
CN2654408	电推单元	车辆安全性高
CN2654408	电推单元	具有体积小
CN1541858	电推单元	控制方式简单
CN2654408	电推单元	控制方式简单
CN1541858	电推单元	特点简单
CN2654408	电推单元	特点简单
CN1541858	电推单元	重量轻
CN2654408	电推单元	重量轻
CN1450708	电系统	蓄电池长
CN101291030	电源插头	保证电池安全
CN101291030	电源插头	充电安全
CN101336173	电源设备	值大
CN1724285	电源系统	电源系统高
CN1994780	电源系统	工作可靠
CN1237276	电源系统	互连容易
CN1724285	电源系统	混合电源系统少
CN1994780	电源系统	空间少
CN1994780	电源系统	控制系统正常
CN1578048	电源系统	量轻
CN1490193	电源系统	社会效益极大
CN1554545	电源系统	社会效益极大
CN1634725	电源装置	大电流充放困难
CN2770188	电源装置	大电流充放困难
CN1491831	电源装置	电力廉价
CN101132135	电源装置	发明电路结构简单
CN101132135	电源装置	功低
CN1634725	电源装置	功率低
CN2770188	电源装置	功率低
CN1757543	电源装置	继电器主
CN1757543	电源装置	开状态系统主
CN1441527	电源装置	驱动电池蓄电池容量差
CN1230050	电源装置	输出电压设定方便
CN1230050	电源装置	线路简单
CN1634725	电源装置	效率低
CN2770188	电源装置	效率低
CN1230050	电源装置	效率高
CN1230050	电源装置	元件少
CN101249794	电源组	成本低
CN201128381	电源组	成本低
CN201128381	电源组	动力性理想
CN101249794	电源组	动力性理想
CN201128381	电源组	使混合动力系统简单
CN101249794	电源组	使混合动力系统简单
CN101249794	电源组	蓄电池组充电性能高
CN201128381	电源组	蓄电池组充电性能高
CN201044398	电装置	充电问题频繁
CN201044398	电装置	磁力永磁体轮轴强
CN201044398	电装置	电网频繁
CN1431639	电子车牌	安全性好
CN1473002	电子机器	车载电子机器高
CN1534816	电子机器	反应层高
CN1534816	电子机器	反应效率高
CN1473002	电子机器	提供可靠性高
CN1240566	电子器件	影响温度补偿装置显著
CN1215254	电子设备	成本高
CN1215254	电子设备	电子设备低廉
CN1215254	电子设备	构成简单
CN1215254	电子设备	价格低廉
CN1215254	电子设备	问题高
CN201217995	电子锁	成本低廉
CN201217995	电子锁	结构简单
CN1534815	电子仪器	功率密度高
CN1534815	电子仪器	燃料电池优异
CN1534815	电子仪器	性能优异
CN2127686	电自动车	结构简单
CN2127686	电自动车	问题方便
CN2127686	电自动车	重量轻
CN1097340	垫	具有结构简单
CN1966728	淀粉糖	成本低
CN1966706	淀粉糖	成本低
CN1966707	淀粉糖	成本低
CN1966728	淀粉糖	成本短
CN1966707	淀粉糖	成本短
CN1966706	淀粉糖	成本短
CN1966728	淀粉糖	处理易
CN1966707	淀粉糖	处理易
CN1966706	淀粉糖	处理易
CN1966728	淀粉糖	国策重大
CN1966706	淀粉糖	国策重大
CN1966707	淀粉糖	国策重大
CN1966707	淀粉糖	耗氧量低
CN1966706	淀粉糖	耗氧量低
CN1966728	淀粉糖	耗氧量低
CN1966706	淀粉糖	菌损失杂
CN1966707	淀粉糖	菌损失杂
CN1966728	淀粉糖	菌损失杂
CN1966706	淀粉糖	是有机质含量少
CN1966707	淀粉糖	是有机质含量少
CN1966728	淀粉糖	是有机质含量少
CN1966728	淀粉糖	稳定重大
CN1966706	淀粉糖	稳定重大
CN1966707	淀粉糖	周期低
CN1966706	淀粉糖	周期低
CN1966728	淀粉糖	周期低
CN1966706	淀粉糖	周期短
CN1966728	淀粉糖	周期短
CN1966707	淀粉糖	周期短
CN101306703	调节机构	调节座椅高度方便
CN101306703	调节机构	具有调节方便
CN101306703	调节机构	老年人方便
CN101306703	调节机构	优点舒适
CN1702009	调节汽车	可靠性高
CN1702009	调节汽车	力途径合理
CN1702009	调节汽车	汽车高
CN1702009	调节汽车	性能平衡
CN1702009	调节汽车	制动性能好
CN2317158	调节手把	感觉优点疲劳
CN2317158	调节手把	具有结构简单
CN2317158	调节手把	时间长
CN2317158	调节手把	手频繁
CN2317158	调节手把	转动频繁
CN2763146	调节装置	调节发动机工合理
CN1645658	调节装置	结构紧凑
CN1645658	调节装置	重量轻
CN201154705	调平系统	工作方便
CN201154705	调平系统	施工人员安全
CN201154705	调平系统	作业平台斜
CN1243794	调速把	输出线性好
CN1243794	调速把	性能可靠
CN2517094	调速开关	具有造价成本低
CN2517094	调速开关	可靠性高
CN2517094	调速开关	优点简便
CN201023424	调速模块	仿真效果好
CN201023424	调速模块	结构简单
CN201023424	调速模块	实用特点安全
CN201002527	调速器	成本低
CN1049131	调速器	调速器操作方便
CN2034348	调速器	发热量低
CN201002527	调速器	方式固定
CN201002527	调速器	加工容易
CN201002527	调速器	结构简单
CN1049131	调速器	可靠性差
CN2034348	调速器	使现有直流电动车辆调速装置性能明显
CN201002527	调速器	性耐用
CN201002527	调速器	性强
CN2549648	调速器	用电量少
CN2034348	调速器	元器件少
CN101362495	调速手把	调节平滑
CN101362495	调速手把	结构简洁
CN101362495	调速手把	切换平稳
CN101362495	调速手把	驱动方式平稳
CN101362495	调速手把	速度平滑
CN101362495	调速手把	性能可靠
CN101362495	调速手把	制造成本低廉
CN101380889	调速系统	发明结构简单
CN101380889	调速系统	发明燃油经济性好
CN101380889	调速系统	适应性好
CN101380889	调速系统	尾气排放低
CN1593979	调速系统	性方便
CN1593979	调速系统	性舒适
CN1336294	调速装置	发明结构简单
CN1269305	调速装置	结构紧凑
CN2640807	顶风窗	滑槽运动好
CN2640807	顶风窗	设定好
CN101244734	顶棚	结构简单
CN101244734	顶棚	具有安全性好
CN101244734	顶棚	优点低
CN101244734	顶棚	造价低
CN1265982	订书机	具有结构简单
CN1264654	定位系统	精确定位可靠
CN1264654	定位系统	精确定位性能可靠
CN2227586	定位组件	时电源线高
CN201156696	定子	结构简单
CN201156683	定子片	耗电量低
CN201156683	定子片	具有工作效率高
CN201075742	定子片	具有工作效率高
CN201075742	定子片	噪音低
CN201156683	定子片	噪音低
CN2415533	定子绕组	电动车调速机构容易
CN2415533	定子绕组	效率高
CN1034099	动机	产生容易
CN201194366	动机	齿轮变速传动机构复杂
CN2301810	动机	传动效率高
CN2301810	动机	电动车辆轻便
CN2407975	动机	电流小
CN1034099	动机	电能少
CN1725609	动机	调速范围广
CN2407975	动机	工作效率低
CN2301810	动机	结构简单
CN2269666	动机	结构简单
CN200956542	动机	结构紧凑
CN201194366	动机	结构紧凑
CN2407975	动机	具有体积小
CN1725609	动机	具有效率高
CN2407975	动机	克服现有技术电动汽车电动机体积大
CN2407975	动机	空载电流高
CN2407975	动机	缺点低
CN200956542	动机	体积小
CN1725609	动机	体积小
CN2407975	动机	效率高
CN2407975	动机	优点高
CN2038298	动机	噪声低
CN1725609	动机	噪声小
CN2407975	动机	重量大
CN2407975	动机	重量轻
CN1725609	动机	重量轻
CN101012049	动力叉车	程度复杂
CN201010489	动力叉车	程度复杂
CN201010489	动力叉车	发动机运行效率高
CN101012049	动力叉车	发动机运行效率高
CN201010489	动力叉车	控制器复杂
CN101012049	动力叉车	控制器复杂
CN2666717	动力车	车排放指标高
CN1704276	动力车	车速实际
CN100999184	动力车	成本低
CN100999184	动力车	动能转换效率高
CN1887612	动力车	感应开关低
CN1769086	动力车	加速大
CN1887612	动力车	节约燃料环保效果好
CN100999184	动力车	结构简单
CN201116074	动力车	结构简单
CN201154662	动力车	结构简单
CN1772556	动力车	具有结构简洁
CN1769086	动力车	路面恶劣
CN101420137	动力车	性便利
CN1772556	动力车	优点轻便
CN100999184	动力车	噪音小
CN1944098	动力车辆	车好
CN1757555	动力车辆	氮氧化物少
CN1835857	动力车辆	电力少
CN1904337	动力车辆	发动机宽
CN1960892	动力车辆	范围发动机冷却水温度低
CN1944098	动力车辆	混合动力车辆车载电源多
CN1960892	动力车辆	接通状态图低
CN1497156	动力车辆	空气稀薄
CN1944098	动力车辆	能量效率低
CN1944098	动力车辆	缺点低
CN101357633	动力车辆	燃油经济性好
CN1944098	动力车辆	散热效果好
CN1945934	动力车辆	使马达间隙量误差容易
CN1944098	动力车辆	统一电源平台电源工作效率高
CN101357633	动力车辆	限度大
CN101036006	动力车辆	旋转元件偏心
CN101036006	动力车辆	旋转中心偏心
CN101223067	动力车辆	噪声含混
CN101223067	动力车辆	噪声异常
CN1835857	动力车辆	轴驱动足
CN101224701	动力车轮	成本低
CN101224701	动力车轮	结构简单
CN101224701	动力车轮	制作安装方便
CN101409371	动力电池	安全性好
CN1177847	动力电池	成本低
CN101154750	动力电池	成本低廉
CN101154750	动力电池	成本高
CN1206940	动力电池	电解质反应迅速
CN101409371	动力电池	发明锂离子动力电池高
CN1206940	动力电池	极板基体重量轻
CN1206940	动力电池	集流导电性能好
CN101154750	动力电池	结构简单
CN1307376	动力电池	科学合理
CN101409371	动力电池	率放电性能优异
CN1177847	动力电池	强度拉伸高
CN201017953	动力电池	使锂离子电池散热快
CN101409371	动力电池	使用寿命长
CN101154750	动力电池	性能安全
CN201017953	动力电池	性能安全
CN201017953	动力电池	性能高
CN101154750	动力电池	性能高
CN101154750	动力电池	性能技术问题安全
CN101286577	动力电池	循环寿命长
CN201017953	动力电池	循环寿命长
CN2506483	动力电源	避免蓄电池频繁
CN201128379	动力电源	超级电容器单纯
CN201128379	动力电源	缺点短
CN201128379	动力电源	续航里程短
CN201110369	动力合成	提高整车轻
CN101013871	动力机	电动机负荷轻
CN1664416	动力机构	安装装备正常
CN1664416	动力机构	工作范围正常
CN1211525	动力机组	重心低
CN101131199	动力模式	切换自由
CN200967409	动力汽车	操作简单
CN201033533	动力汽车	车型宽
CN101331044	动力汽车	处理简单
CN1398740	动力汽车	存储方便
CN101284532	动力汽车	发电合理
CN201021118	动力汽车	发动机燃料经济性好
CN101284532	动力汽车	发动机效率辅助高
CN101386301	动力汽车	防止内燃机频繁
CN201158298	动力汽车	工作状态轻松
CN201033533	动力汽车	环保性高
CN101262194	动力汽车	混合动力电机高
CN101066674	动力汽车	混合动力汽车工作安全性高
CN101244721	动力汽车	混合动力汽车整车多能源动力总成复杂
CN101052541	动力汽车	接转速明显
CN1903629	动力汽车	节能效果显著
CN1900867	动力汽车	结构简单
CN201033533	动力汽车	经济性高
CN101396976	动力汽车	静态好
CN101417653	动力汽车	具有启动时间短
CN101244721	动力汽车	控制系统复杂
CN101244721	动力汽车	控制系统模块结构清晰
CN1925999	动力汽车	内燃机少
CN101417653	动力汽车	启动过程平稳
CN101417653	动力汽车	启动转速高
CN1769665	动力汽车	起动内燃机技术迅速
CN1398740	动力汽车	汽车排放少
CN1843797	动力汽车	热量供应可靠
CN1900867	动力汽车	体积小
CN101417653	动力汽车	污染物排放少
CN201033533	动力汽车	限度大
CN1398740	动力汽车	效率显著
CN1398740	动力汽车	压缩空气动力汽车能源清洁
CN101326085	动力汽车	抑制排气净化催化剂劣
CN101417653	动力汽车	优点少
CN1751908	动力汽车	知汽车发动机效率充分
CN101386271	动力汽车	资源少
CN1310639	动力设备	烃类燃料轻
CN1310639	动力设备	温度低
CN1222887	动力系	操纵离合器容易
CN1735522	动力系	操作速度范围低
CN1222887	动力系	构件主动
CN100999191	动力系统	部件正常
CN1475378	动力系统	部件正常
CN101096180	动力系统	车辆加速性能高
CN101096180	动力系统	车辆牵引力好
CN200951714	动力系统	成本低
CN1923560	动力系统	成本低
CN101274589	动力系统	成本低
CN1990296	动力系统	成本低廉
CN1420034	动力系统	存在结构复杂
CN2587696	动力系统	存在结构复杂
CN1486873	动力系统	带来传动效率高
CN1710741	动力系统	动力系统效率高
CN1486873	动力系统	动力性整车性能高
CN201082682	动力系统	动力源多
CN1911704	动力系统	发明结构简单
CN101237154	动力系统	放电效率高
CN1475378	动力系统	分配合理
CN100999191	动力系统	分配合理
CN1539673	动力系统	分配燃料电池系统合理
CN1475378	动力系统	功率合理
CN100999191	动力系统	功率合理
CN101237154	动力系统	功率输出能力正常
CN2774838	动力系统	环境少
CN1605741	动力系统	混合动力系统运行经济性高
CN2774838	动力系统	混合动力系统运行经济性高
CN201151352	动力系统	结构简单
CN1990296	动力系统	结构简单
CN200984966	动力系统	结构简单
CN101274589	动力系统	结构简单
CN1857941	动力系统	结构简单
CN1994773	动力系统	结构简单
CN200951714	动力系统	结构紧凑
CN101224710	动力系统	经济性高
CN1166416	动力系统	具有负荷小
CN201208905	动力系统	码头牵引车高
CN1990296	动力系统	目的好
CN101237154	动力系统	能量转换效率高
CN1605741	动力系统	扭矩输出特性稀土大
CN1486873	动力系统	排放低
CN201208905	动力系统	排放特点高
CN1420034	动力系统	排放优点低
CN2587696	动力系统	排放优点低
